sample_key,container_key,subject_id,session_id,recording_id,label,existing_split,key_exists
sub000.pkl-0-0,sub000.pkl-0-0,sub000,,sub000.pkl,0,train,True
sub000.pkl-0-1,sub000.pkl-0-1,sub000,,sub000.pkl,0,train,True
sub000.pkl-0-2,sub000.pkl-0-2,sub000,,sub000.pkl,0,train,True
sub000.pkl-1-0,sub000.pkl-1-0,sub000,,sub000.pkl,0,train,True
sub000.pkl-1-1,sub000.pkl-1-1,sub000,,sub000.pkl,0,train,True
sub000.pkl-1-2,sub000.pkl-1-2,sub000,,sub000.pkl,0,train,True
sub000.pkl-2-0,sub000.pkl-2-0,sub000,,sub000.pkl,0,train,True
sub000.pkl-2-1,sub000.pkl-2-1,sub000,,sub000.pkl,0,train,True
sub000.pkl-2-2,sub000.pkl-2-2,sub000,,sub000.pkl,0,train,True
sub000.pkl-3-0,sub000.pkl-3-0,sub000,,sub000.pkl,1,train,True
sub000.pkl-3-1,sub000.pkl-3-1,sub000,,sub000.pkl,1,train,True
sub000.pkl-3-2,sub000.pkl-3-2,sub000,,sub000.pkl,1,train,True
sub000.pkl-4-0,sub000.pkl-4-0,sub000,,sub000.pkl,1,train,True
sub000.pkl-4-1,sub000.pkl-4-1,sub000,,sub000.pkl,1,train,True
sub000.pkl-4-2,sub000.pkl-4-2,sub000,,sub000.pkl,1,train,True
sub000.pkl-5-0,sub000.pkl-5-0,sub000,,sub000.pkl,1,train,True
sub000.pkl-5-1,sub000.pkl-5-1,sub000,,sub000.pkl,1,train,True
sub000.pkl-5-2,sub000.pkl-5-2,sub000,,sub000.pkl,1,train,True
sub000.pkl-6-0,sub000.pkl-6-0,sub000,,sub000.pkl,2,train,True
sub000.pkl-6-1,sub000.pkl-6-1,sub000,,sub000.pkl,2,train,True
sub000.pkl-6-2,sub000.pkl-6-2,sub000,,sub000.pkl,2,train,True
sub000.pkl-7-0,sub000.pkl-7-0,sub000,,sub000.pkl,2,train,True
sub000.pkl-7-1,sub000.pkl-7-1,sub000,,sub000.pkl,2,train,True
sub000.pkl-7-2,sub000.pkl-7-2,sub000,,sub000.pkl,2,train,True
sub000.pkl-8-0,sub000.pkl-8-0,sub000,,sub000.pkl,2,train,True
sub000.pkl-8-1,sub000.pkl-8-1,sub000,,sub000.pkl,2,train,True
sub000.pkl-8-2,sub000.pkl-8-2,sub000,,sub000.pkl,2,train,True
sub000.pkl-9-0,sub000.pkl-9-0,sub000,,sub000.pkl,3,train,True
sub000.pkl-9-1,sub000.pkl-9-1,sub000,,sub000.pkl,3,train,True
sub000.pkl-9-2,sub000.pkl-9-2,sub000,,sub000.pkl,3,train,True
sub000.pkl-10-0,sub000.pkl-10-0,sub000,,sub000.pkl,3,train,True
sub000.pkl-10-1,sub000.pkl-10-1,sub000,,sub000.pkl,3,train,True
sub000.pkl-10-2,sub000.pkl-10-2,sub000,,sub000.pkl,3,train,True
sub000.pkl-11-0,sub000.pkl-11-0,sub000,,sub000.pkl,3,train,True
sub000.pkl-11-1,sub000.pkl-11-1,sub000,,sub000.pkl,3,train,True
sub000.pkl-11-2,sub000.pkl-11-2,sub000,,sub000.pkl,3,train,True
sub000.pkl-12-0,sub000.pkl-12-0,sub000,,sub000.pkl,4,train,True
sub000.pkl-12-1,sub000.pkl-12-1,sub000,,sub000.pkl,4,train,True
sub000.pkl-12-2,sub000.pkl-12-2,sub000,,sub000.pkl,4,train,True
sub000.pkl-13-0,sub000.pkl-13-0,sub000,,sub000.pkl,4,train,True
sub000.pkl-13-1,sub000.pkl-13-1,sub000,,sub000.pkl,4,train,True
sub000.pkl-13-2,sub000.pkl-13-2,sub000,,sub000.pkl,4,train,True
sub000.pkl-14-0,sub000.pkl-14-0,sub000,,sub000.pkl,4,train,True
sub000.pkl-14-1,sub000.pkl-14-1,sub000,,sub000.pkl,4,train,True
sub000.pkl-14-2,sub000.pkl-14-2,sub000,,sub000.pkl,4,train,True
sub000.pkl-15-0,sub000.pkl-15-0,sub000,,sub000.pkl,4,train,True
sub000.pkl-15-1,sub000.pkl-15-1,sub000,,sub000.pkl,4,train,True
sub000.pkl-15-2,sub000.pkl-15-2,sub000,,sub000.pkl,4,train,True
sub000.pkl-16-0,sub000.pkl-16-0,sub000,,sub000.pkl,5,train,True
sub000.pkl-16-1,sub000.pkl-16-1,sub000,,sub000.pkl,5,train,True
sub000.pkl-16-2,sub000.pkl-16-2,sub000,,sub000.pkl,5,train,True
sub000.pkl-17-0,sub000.pkl-17-0,sub000,,sub000.pkl,5,train,True
sub000.pkl-17-1,sub000.pkl-17-1,sub000,,sub000.pkl,5,train,True
sub000.pkl-17-2,sub000.pkl-17-2,sub000,,sub000.pkl,5,train,True
sub000.pkl-18-0,sub000.pkl-18-0,sub000,,sub000.pkl,5,train,True
sub000.pkl-18-1,sub000.pkl-18-1,sub000,,sub000.pkl,5,train,True
sub000.pkl-18-2,sub000.pkl-18-2,sub000,,sub000.pkl,5,train,True
sub000.pkl-19-0,sub000.pkl-19-0,sub000,,sub000.pkl,6,train,True
sub000.pkl-19-1,sub000.pkl-19-1,sub000,,sub000.pkl,6,train,True
sub000.pkl-19-2,sub000.pkl-19-2,sub000,,sub000.pkl,6,train,True
sub000.pkl-20-0,sub000.pkl-20-0,sub000,,sub000.pkl,6,train,True
sub000.pkl-20-1,sub000.pkl-20-1,sub000,,sub000.pkl,6,train,True
sub000.pkl-20-2,sub000.pkl-20-2,sub000,,sub000.pkl,6,train,True
sub000.pkl-21-0,sub000.pkl-21-0,sub000,,sub000.pkl,6,train,True
sub000.pkl-21-1,sub000.pkl-21-1,sub000,,sub000.pkl,6,train,True
sub000.pkl-21-2,sub000.pkl-21-2,sub000,,sub000.pkl,6,train,True
sub000.pkl-22-0,sub000.pkl-22-0,sub000,,sub000.pkl,7,train,True
sub000.pkl-22-1,sub000.pkl-22-1,sub000,,sub000.pkl,7,train,True
sub000.pkl-22-2,sub000.pkl-22-2,sub000,,sub000.pkl,7,train,True
sub000.pkl-23-0,sub000.pkl-23-0,sub000,,sub000.pkl,7,train,True
sub000.pkl-23-1,sub000.pkl-23-1,sub000,,sub000.pkl,7,train,True
sub000.pkl-23-2,sub000.pkl-23-2,sub000,,sub000.pkl,7,train,True
sub000.pkl-24-0,sub000.pkl-24-0,sub000,,sub000.pkl,7,train,True
sub000.pkl-24-1,sub000.pkl-24-1,sub000,,sub000.pkl,7,train,True
sub000.pkl-24-2,sub000.pkl-24-2,sub000,,sub000.pkl,7,train,True
sub000.pkl-25-0,sub000.pkl-25-0,sub000,,sub000.pkl,8,train,True
sub000.pkl-25-1,sub000.pkl-25-1,sub000,,sub000.pkl,8,train,True
sub000.pkl-25-2,sub000.pkl-25-2,sub000,,sub000.pkl,8,train,True
sub000.pkl-26-0,sub000.pkl-26-0,sub000,,sub000.pkl,8,train,True
sub000.pkl-26-1,sub000.pkl-26-1,sub000,,sub000.pkl,8,train,True
sub000.pkl-26-2,sub000.pkl-26-2,sub000,,sub000.pkl,8,train,True
