sample_key,container_key,subject_id,session_id,recording_id,label,existing_split,key_exists
S001R04-1,S001R04-1,S001,R04,S001R04,1,train,True
S001R04-3,S001R04-3,S001,R04,S001R04,0,train,True
S001R04-5,S001R04-5,S001,R04,S001R04,0,train,True
S001R04-7,S001R04-7,S001,R04,S001R04,1,train,True
S001R04-9,S001R04-9,S001,R04,S001R04,1,train,True
S001R04-11,S001R04-11,S001,R04,S001R04,0,train,True
S001R04-13,S001R04-13,S001,R04,S001R04,1,train,True
S001R04-15,S001R04-15,S001,R04,S001R04,0,train,True
S001R04-17,S001R04-17,S001,R04,S001R04,1,train,True
S001R04-19,S001R04-19,S001,R04,S001R04,0,train,True
S001R04-21,S001R04-21,S001,R04,S001R04,0,train,True
S001R04-23,S001R04-23,S001,R04,S001R04,1,train,True
S001R04-25,S001R04-25,S001,R04,S001R04,0,train,True
S001R04-27,S001R04-27,S001,R04,S001R04,1,train,True
S001R04-29,S001R04-29,S001,R04,S001R04,0,train,True
S001R06-1,S001R06-1,S001,R06,S001R06,3,train,True
S001R06-3,S001R06-3,S001,R06,S001R06,2,train,True
S001R06-5,S001R06-5,S001,R06,S001R06,2,train,True
S001R06-7,S001R06-7,S001,R06,S001R06,3,train,True
S001R06-9,S001R06-9,S001,R06,S001R06,2,train,True
S001R06-11,S001R06-11,S001,R06,S001R06,3,train,True
S001R06-13,S001R06-13,S001,R06,S001R06,3,train,True
S001R06-15,S001R06-15,S001,R06,S001R06,2,train,True
S001R06-17,S001R06-17,S001,R06,S001R06,2,train,True
S001R06-19,S001R06-19,S001,R06,S001R06,3,train,True
S001R06-21,S001R06-21,S001,R06,S001R06,3,train,True
S001R06-23,S001R06-23,S001,R06,S001R06,2,train,True
S001R06-25,S001R06-25,S001,R06,S001R06,2,train,True
S001R06-27,S001R06-27,S001,R06,S001R06,3,train,True
S001R06-29,S001R06-29,S001,R06,S001R06,3,train,True
S001R08-1,S001R08-1,S001,R08,S001R08,0,train,True
S001R08-3,S001R08-3,S001,R08,S001R08,1,train,True
S001R08-5,S001R08-5,S001,R08,S001R08,0,train,True
S001R08-7,S001R08-7,S001,R08,S001R08,1,train,True
S001R08-9,S001R08-9,S001,R08,S001R08,0,train,True
S001R08-11,S001R08-11,S001,R08,S001R08,1,train,True
S001R08-13,S001R08-13,S001,R08,S001R08,0,train,True
S001R08-15,S001R08-15,S001,R08,S001R08,1,train,True
S001R08-17,S001R08-17,S001,R08,S001R08,1,train,True
S001R08-19,S001R08-19,S001,R08,S001R08,0,train,True
S001R08-21,S001R08-21,S001,R08,S001R08,0,train,True
S001R08-23,S001R08-23,S001,R08,S001R08,1,train,True
S001R08-25,S001R08-25,S001,R08,S001R08,1,train,True
S001R08-27,S001R08-27,S001,R08,S001R08,0,train,True
S001R08-29,S001R08-29,S001,R08,S001R08,0,train,True
