sample_key,container_key,subject_id,session_id,recording_id,label,existing_split,key_exists
10_1_20180507.cnt-0-0,10_1_20180507.cnt-0-0,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-1,10_1_20180507.cnt-0-1,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-2,10_1_20180507.cnt-0-2,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-3,10_1_20180507.cnt-0-3,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-4,10_1_20180507.cnt-0-4,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-5,10_1_20180507.cnt-0-5,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-6,10_1_20180507.cnt-0-6,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-7,10_1_20180507.cnt-0-7,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-8,10_1_20180507.cnt-0-8,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-9,10_1_20180507.cnt-0-9,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-10,10_1_20180507.cnt-0-10,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-11,10_1_20180507.cnt-0-11,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-12,10_1_20180507.cnt-0-12,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-13,10_1_20180507.cnt-0-13,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-14,10_1_20180507.cnt-0-14,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-15,10_1_20180507.cnt-0-15,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-16,10_1_20180507.cnt-0-16,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-17,10_1_20180507.cnt-0-17,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-18,10_1_20180507.cnt-0-18,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-19,10_1_20180507.cnt-0-19,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-20,10_1_20180507.cnt-0-20,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-21,10_1_20180507.cnt-0-21,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-22,10_1_20180507.cnt-0-22,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-23,10_1_20180507.cnt-0-23,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-24,10_1_20180507.cnt-0-24,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-25,10_1_20180507.cnt-0-25,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-26,10_1_20180507.cnt-0-26,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-27,10_1_20180507.cnt-0-27,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-28,10_1_20180507.cnt-0-28,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-29,10_1_20180507.cnt-0-29,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-30,10_1_20180507.cnt-0-30,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-31,10_1_20180507.cnt-0-31,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-32,10_1_20180507.cnt-0-32,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-33,10_1_20180507.cnt-0-33,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-34,10_1_20180507.cnt-0-34,10,1,10_1_20180507.cnt,4,train,True
10_1_20180507.cnt-0-35,10_1_20180507.cnt-0-35,10,1,10_1_20180507.cnt,4,train,True
