dataset,split,container_key,subject_id,rows,labels,existing_splits
PhysioNet-MI,train,S002R04-1,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-11,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-13,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-15,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-17,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-19,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-21,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-23,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-25,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-27,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-29,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-3,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-5,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-7,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R04-9,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-1,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-11,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-13,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-15,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-17,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-19,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-21,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-23,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-25,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-27,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-29,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-3,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-5,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-7,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R06-9,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-1,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-11,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-13,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-15,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-17,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-19,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-21,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-23,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-25,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-27,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-29,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-3,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-5,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-7,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R08-9,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-1,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-11,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-13,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-15,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-17,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-19,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-21,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-23,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-25,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-27,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-29,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-3,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-5,S002,1,"{""3"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-7,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R10-9,S002,1,"{""2"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-1,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-11,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-13,S002,1,"{""0"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-15,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-17,S002,1,"{""1"": 1}","[""train""]"
PhysioNet-MI,train,S002R12-19,S002,1,"{""0"": 1}","[""train""]"
