cell_id,table_role,dataset,paper_label,executable_condition,seed,source_class,source_reference,paper_eligibility,required_new_run,status,notes
attnres_faced_v1,component_ablation,FACED,Full FT + AttnRes,full_attnres_only,3407,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_faced_v1,component_ablation,FACED,Full FT + AttnRes,full_attnres_only,2024,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_faced_v1,component_ablation,FACED,Full FT + AttnRes,full_attnres_only,2027,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_isruc_v1,component_ablation,ISRUC,Full FT + AttnRes,full_attnres_only,3407,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_isruc_v1,component_ablation,ISRUC,Full FT + AttnRes,full_attnres_only,2024,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_isruc_v1,component_ablation,ISRUC,Full FT + AttnRes,full_attnres_only,2027,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_seedv_v1,component_ablation,SEED-V,Full FT + AttnRes,full_attnres_only,3407,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_seedv_v1,component_ablation,SEED-V,Full FT + AttnRes,full_attnres_only,2024,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_seedv_v1,component_ablation,SEED-V,Full FT + AttnRes,full_attnres_only,2027,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_physionet_v1,component_ablation,PhysioNet-MI,Full FT + AttnRes,full_attnres_only,3407,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_physionet_v1,component_ablation,PhysioNet-MI,Full FT + AttnRes,full_attnres_only,2024,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
attnres_physionet_v1,component_ablation,PhysioNet-MI,Full FT + AttnRes,full_attnres_only,2027,prespecified_component_ablation,paper_method_attnres_only_v1,component_ablation_candidate,yes,planned,Full backbone trainability; no specialists
