cell_id,table_role,dataset,paper_label,executable_condition,seed,source_class,source_reference,paper_eligibility,required_new_run,status,notes
main_faced_full_v2,main_confirmatory,FACED,Full fine-tuning,full,3407,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; use the locked FACED protocol
main_faced_full_v2,main_confirmatory,FACED,Full fine-tuning,full,2024,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; use the locked FACED protocol
main_faced_full_v2,main_confirmatory,FACED,Full fine-tuning,full,2027,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,yes,planned,Newly prespecified confirmatory seed; use the locked FACED protocol
main_faced_specialist_v2,main_confirmatory,FACED,AttnRes + Typed Specialists,specialist_augmented_full,3407,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; full backbone trainability and depth routing disabled
main_faced_specialist_v2,main_confirmatory,FACED,AttnRes + Typed Specialists,specialist_augmented_full,2024,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; full backbone trainability and depth routing disabled
main_faced_specialist_v2,main_confirmatory,FACED,AttnRes + Typed Specialists,specialist_augmented_full,2027,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Newly prespecified confirmatory seed; full backbone trainability and depth routing disabled
main_isruc_full_v2,main_confirmatory,ISRUC,Full fine-tuning,full,3407,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; use the locked ISRUC protocol
main_isruc_full_v2,main_confirmatory,ISRUC,Full fine-tuning,full,2024,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; use the locked ISRUC protocol
main_isruc_full_v2,main_confirmatory,ISRUC,Full fine-tuning,full,2027,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,yes,planned,Newly prespecified confirmatory seed; use the locked ISRUC protocol
main_isruc_specialist_v2,main_confirmatory,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,3407,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; full backbone trainability and depth routing disabled
main_isruc_specialist_v2,main_confirmatory,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,2024,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Unseen confirmatory seed; full backbone trainability and depth routing disabled
main_isruc_specialist_v2,main_confirmatory,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,2027,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,yes,planned,Newly prespecified confirmatory seed; full backbone trainability and depth routing disabled
