cell_id,table_role,dataset,paper_label,executable_condition,seed,source_class,source_reference,paper_eligibility,required_new_run,status,notes
main_faced_full_v2,main_cross_dataset,FACED,Full fine-tuning,full,3407,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_faced_full_v2,main_cross_dataset,FACED,Full fine-tuning,full,2024,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_faced_full_v2,main_cross_dataset,FACED,Full fine-tuning,full,2027,new_confirmatory,paper_protocol_faced_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_faced_specialist_v2,main_cross_dataset,FACED,AttnRes + Typed Specialists,specialist_augmented_full,3407,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_faced_specialist_v2,main_cross_dataset,FACED,AttnRes + Typed Specialists,specialist_augmented_full,2024,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_faced_specialist_v2,main_cross_dataset,FACED,AttnRes + Typed Specialists,specialist_augmented_full,2027,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_isruc_full_v2,main_cross_dataset,ISRUC,Full fine-tuning,full,3407,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_isruc_full_v2,main_cross_dataset,ISRUC,Full fine-tuning,full,2024,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_isruc_full_v2,main_cross_dataset,ISRUC,Full fine-tuning,full,2027,new_confirmatory,paper_protocol_isruc_v1,primary_new_evidence,no,completed,Existing audited v2 result
main_isruc_specialist_v2,main_cross_dataset,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,3407,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_isruc_specialist_v2,main_cross_dataset,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,2024,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_isruc_specialist_v2,main_cross_dataset,ISRUC,AttnRes + Typed Specialists,specialist_augmented_full,2027,new_confirmatory,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Existing audited v2 result; full backbone trainability and depth routing disabled
main_seedv_full_v3,main_cross_dataset,SEED-V,Full fine-tuning,full,3407,prespecified_extension_v3,paper_protocol_seedv_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; SEED-V scope extension
main_seedv_full_v3,main_cross_dataset,SEED-V,Full fine-tuning,full,2024,prespecified_extension_v3,paper_protocol_seedv_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; SEED-V scope extension
main_seedv_full_v3,main_cross_dataset,SEED-V,Full fine-tuning,full,2027,prespecified_extension_v3,paper_protocol_seedv_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; SEED-V scope extension
main_seedv_specialist_v3,main_cross_dataset,SEED-V,AttnRes + Typed Specialists,specialist_augmented_full,3407,prespecified_extension_v3,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
main_seedv_specialist_v3,main_cross_dataset,SEED-V,AttnRes + Typed Specialists,specialist_augmented_full,2024,prespecified_extension_v3,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
main_seedv_specialist_v3,main_cross_dataset,SEED-V,AttnRes + Typed Specialists,specialist_augmented_full,2027,prespecified_extension_v3,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
main_physionet_mi_full_v4,main_cross_dataset,PhysioNet-MI,Full fine-tuning,full,3407,prespecified_extension_v4,paper_protocol_physionet_mi_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; subject-disjoint manifest
main_physionet_mi_full_v4,main_cross_dataset,PhysioNet-MI,Full fine-tuning,full,2024,prespecified_extension_v4,paper_protocol_physionet_mi_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; subject-disjoint manifest
main_physionet_mi_full_v4,main_cross_dataset,PhysioNet-MI,Full fine-tuning,full,2027,prespecified_extension_v4,paper_protocol_physionet_mi_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; subject-disjoint manifest
main_physionet_mi_specialist_v4,main_cross_dataset,PhysioNet-MI,AttnRes + Typed Specialists,specialist_augmented_full,3407,prespecified_extension_v4,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
main_physionet_mi_specialist_v4,main_cross_dataset,PhysioNet-MI,AttnRes + Typed Specialists,specialist_augmented_full,2024,prespecified_extension_v4,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
main_physionet_mi_specialist_v4,main_cross_dataset,PhysioNet-MI,AttnRes + Typed Specialists,specialist_augmented_full,2027,prespecified_extension_v4,paper_method_specialist_augmented_full_v1,primary_new_evidence,no,completed,Frozen audited confirmatory result; full backbone trainability and depth routing disabled
